question_id,question
A Beautiful Mind,È soltanto nelle misteriose equazioni dell’amore che si può trovare ogni ragione logica. Io sono qui grazie a te. Tu sei la ragione per cui io esisto. Tu sei tutte le mie ragioni.
Love Story,“Amore” significa non dover mai dire “mi dispiace”.
"Mangia, prega, ama",Alcune volte perdere il tuo equilibrio per amore è necessario per vivere una vita equilibrata.
Al di là della vita,La gente spesso definisce impossibili cose che semplicemente non ha mai visto.
L’attimo fuggente,Sono salito sulla cattedra per ricordare a me stesso che dobbiamo sempre guardare le cose da angolazioni diverse. E il mondo appare diverso da quassù. Non vi ho convinti? Venite a vedere voi stessi. Coraggio! È proprio quando credete di sapere qualcosa che dovete guardarla da un’altra prospettiva.
Vanilla Sky,Ogni minuto che passa è un’occasione per rivoluzionare tutto completamente.
La ricerca della felicità,"Non permettere mai a nessuno di dirti che non sai fare qualcosa. Se hai un sogno tu lo devi proteggere. Quando le persone non sanno fare qualcosa lo dicono a te che non la sai fare. Se vuoi qualcosa, vai e inseguila. Punto."
Vanilla Sky,"Perché, senza l’amaro, amico mio, il dolce non è tanto dolce."
 Sette anni in Tibet,Quando non sei in grado di combattere abbraccia il tuo nemico. Se ha le braccia intorno a te non può puntarti contro il fucile.
Harry Potter e la camera dei segreti,"Sono le scelte che facciamo… che dimostrano quel che siamo veramente, molto più delle nostre capacità."
Mr. Beaver,"La vera follia è fare finta di essere felici, fare finta che il modo in cui ti vanno le cose sia il modo in cui devono andare per il resto della tua vita, tutti i desideri, le speranze, tutte le gioie, le emozioni e le passioni che la vita ti ha tolto sono lì davanti a te, puoi riprenderti tutto!"
